Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1885,-20.8,-11,-6.3,-0.7,9.8,13.6,15.6,11.8,7.5,0.5,-9.5,-10.9,0
1886,-11.7,-15,-9.1,0.8,6.6,11.3,16.2,14.5,8.3,-2.9,-7.7,-6.3,0.4
1887,-17,-10.6,-8.3,2,12.1,16.6,16.5,15,12.4,0.2,-5.2,-9.7,2
1888,-17.4,-15.7,-8.3,6.4,12,15.5,19.7,14.9,10.3,1.9,-9.8,-20.3,0.8
1889,-17.4,-12.1,-8.8,3.6,10.6,13.8,16.1,15.8,9.9,0.8,-11.6,-12.5,0.7
1890,-15.2,-12.4,-5.1,1.4,4.6,17.2,20.9,14.6,9.1,2.4,-16.9,-12.5,0.7
1891,-18.7,-12.7,-2.4,0.4,10.5,14.5,17,14.4,7,-3.8,-13.6,-12.9,0
1892,-17.8,-14,-7.6,-0.3,11.8,16.5,19,14.8,9.1,1.2,-7.7,-18.2,0.6
1893,-22.9,-12.6,-2.6,3,7.5,14.2,17.5,14.3,10.4,2.6,-4.7,-12.5,1.2
1894,-15.8,-8,-8.6,-0.8,11.5,13.4,14.9,15.9,8,-0.4,-10.6,-16.4,0.3
1895,-15.4,-17.3,-5.6,-1.2,7.3,13.5,17.2,15.8,8.7,4.7,-8.6,-16,0.3
1896,-19,-14.7,-10.4,-1.4,11.9,14,17,15.7,9.2,5.8,-9.9,-17.1,0.1
1897,-15.1,-16.2,-11.7,1.7,13.5,15.4,16.9,14.2,11,0.1,-8.6,-16.7,0.4
1898,-12.7,-17.7,-15.1,0.7,11.1,14.9,18.8,14.6,11.2,-3.1,-7.2,-8.7,0.6
1899,-11.6,-12.5,-9.3,3.1,9.6,15.4,16.1,15.2,10.8,5.3,-2.7,-16.9,1.9
1900,-18.5,-12.7,-5,-0.6,11.6,14.3,16.3,15.2,7.4,3,-7.9,-12.4,0.9
1901,-18,-8.5,-4.6,5.2,10,15.7,17.6,13.2,6.5,0,-6.8,-17.2,1.1
1902,-16.6,-11,-7.8,-0.4,9.4,15.8,20.2,16.4,8.1,-2.2,-13.7,-19.4,-0.1
1903,-15.6,-9.7,-7.4,5.1,7.4,15.5,17.5,16.5,7.9,-1.3,-6.5,-12.3,1.4
1904,-13.1,-11.7,-6.4,2.7,11.2,14,17,14.7,8.6,2.1,-5,-14.2,1.7
1905,-16,-10.5,-8.6,1.3,10.3,14.1,14.8,14.2,10.7,5.6,-3.8,-9.3,1.9
1906,-16.7,-14.5,-3.6,4.8,12.4,16.7,19.4,15.1,7.8,0.2,-8.1,-11.9,1.8
1907,-21,-11.8,-6.7,3.2,6.8,14,19.6,15.7,9,0,-13.7,-18.1,-0.3
1908,-19.4,-12.8,-11.2,3.4,8,14.1,13.4,13.3,9,-1.9,-9.7,-16,-0.8
1909,-15.6,-11.4,-8,4.2,8.8,16.6,17.8,13.3,11.2,3.3,-2.6,-9.8,2.3
1910,-13.7,-12.2,-6.6,3.8,9.8,13.8,18.7,14.8,9,-1.4,-7.2,-11.3,1.5
1911,-16.3,-18.1,-8.9,3.4,7.5,17.7,20.2,12.5,6.2,0.3,-3.1,-11.2,0.8
1912,-13,-20,-7,1.3,11.5,17.5,15.9,13.5,10.1,-3.7,-6.8,-16.9,0.2
1913,-15.6,-17.4,-5.6,0.6,6.9,13.9,16.8,16.6,8.3,-2.2,-3.1,-8,0.9
1914,-13.5,-9.9,-7.2,-1.8,11.2,12.6,15,15.6,7.8,-0.7,-8.3,-11.3,0.8
1915,-15.1,-8.6,-9.1,4.1,11.5,17.2,17,14.2,9.5,-1.4,-5.3,-15,1.6
1916,-13.5,-9.8,-8.5,3.1,9.5,16.2,16.1,12.7,9.5,1.8,-6.2,-13.1,1.5
1917,-13.5,-18,-10.9,6.1,9.1,12.9,18.4,13.1,11.1,4,-2.1,-10.5,1.6
1918,-11.8,-15.3,-9.7,1.9,4.2,16.6,17.3,14.6,8.4,3.9,-5.9,-15.8,0.7
1919,-18.5,-15.7,-10.2,4.9,6.8,14.5,16.7,15.4,9.3,3.8,-11.4,-14.4,0.1
1920,-14.1,-17.1,-2.6,6.5,12.8,19,15.9,16.6,9.8,-4.7,-10.5,-14.1,1.5
1921,-12.3,-14.5,-5.2,5.1,13.1,20.8,17.7,13.4,7.3,1.5,-6.7,-16.2,2
1922,-18.4,-17,-4.3,2.6,11.8,15,17.8,14.2,8,-0.4,-3,-8.4,1.5
1923,-12.1,-13.7,-7.2,-1.7,9.7,18.3,18.2,15.1,10.7,6.4,-1.1,-9.8,2.7
1924,-16.7,-15.5,-6.4,4.6,9.9,15.2,17.1,13.8,9.8,2.1,-4.6,-11.1,1.5
1925,-12.2,-8.3,-5.5,1.5,8.7,16.4,16.7,17.1,9.8,1.3,-5.8,-12.2,2.3
1926,-13.1,-13.4,-5.2,0.1,8,14,13.1,13.3,9,2,-3.6,-14.1,0.8
1927,-19.5,-12.8,-9.7,3.9,10.7,16.2,18.6,15,10.2,0.8,-6,-18,0.8
1928,-14.8,-14,-9.4,0.2,9.7,14.4,16.9,14,10.4,1.7,-7.7,-11.1,0.9
1929,-16.8,-20.4,-8.8,-0.2,9.6,17.1,19.2,15.1,8.1,3.8,-3.7,-17.8,0.4
